pc11_state_id,pc11_district_id,year,roads_completed,road_length_km
05,058,2009,24,270.5000000000001
05,058,2010,15,156.5
05,058,2011,16,201.83999999999997
05,058,2012,10,100.81000000000002
05,058,2013,10,92.66
05,058,2014,5,141.17
05,059,2005,1,4
05,059,2007,2,22
05,059,2008,29,338.52
05,059,2009,21,187.94000000000003
05,059,2010,22,256.71000000000004
05,059,2011,7,37.910000000000004
05,059,2012,8,107.25000000000001
05,059,2013,4,40
05,059,2014,4,26.61
05,060,2003,3,25.5
05,060,2004,2,10
05,060,2005,2,10
05,060,2008,10,135.68000000000004
05,060,2009,6,49.709999999999994
05,060,2010,14,170.21
05,060,2011,2,16
05,060,2014,2,5
05,061,2003,1,5.5
05,061,2004,1,6
05,061,2006,6,52.69
05,061,2007,12,96.12
05,061,2008,32,283.28999999999996
05,061,2009,6,20.240000000000002
05,061,2010,22,285.13
05,061,2011,6,60.89
05,061,2012,7,62.849999999999994
05,061,2013,5,43.8
05,061,2014,6,28.049999999999997
05,061,2015,1,2
05,062,2005,9,35
05,062,2006,2,6
05,062,2007,2,17.9
05,062,2009,10,63.75
05,062,2010,5,48.05
05,062,2011,4,23.9
05,062,2012,2,19
05,062,2013,3,27.560000000000002
05,062,2014,2,12.48
05,063,2006,2,12
05,063,2007,2,14
05,063,2008,1,4.62
05,063,2009,6,58.84
05,063,2010,10,88.44
05,063,2011,25,299.30000000000007
05,063,2012,20,216.06000000000003
05,063,2013,1,4.62
05,063,2014,2,14.7
05,064,2004,1,4
05,064,2005,3,13
05,064,2006,2,10
05,064,2007,9,124.17999999999999
05,064,2008,4,44.4
05,064,2009,25,278.71999999999997
05,064,2010,10,122.24000000000001
05,064,2011,33,544.8599999999999
05,064,2012,6,33.11
05,064,2013,22,214.18999999999994
05,064,2014,11,191.81
05,064,2015,1,2.25
05,065,2004,5,34
05,065,2005,1,5
05,065,2006,2,3.62
05,065,2007,2,13
05,065,2008,13,186.3
05,065,2009,4,29.5
05,065,2010,13,165.63
05,065,2011,8,37.78
05,065,2012,5,60.2
05,065,2013,2,40
05,065,2015,1,20
05,066,2004,1,7.78
05,066,2005,8,57
05,066,2006,1,4
05,066,2007,3,38.94
05,066,2008,3,21.4
05,066,2009,10,75.12
05,066,2010,7,98.84
05,066,2011,20,202.11
05,066,2012,7,88.66
05,066,2013,9,102.58
05,066,2014,3,22.36
05,067,2003,2,3.15
05,067,2004,7,13.5
05,067,2005,6,15.8
05,067,2006,2,5.26
05,067,2007,6,12.57
05,067,2009,1,2.3
05,067,2011,1,1.85
05,067,2012,6,33.6
05,068,2003,14,22.86
05,068,2004,2,8
08,099,2001,2,5.45
08,099,2002,2,18
08,099,2003,5,36
08,099,2004,14,92.69999999999999
08,099,2005,1,1.1
08,099,2006,10,31.160000000000004
08,099,2007,47,178.75
08,099,2008,2,5.9
08,100,2003,5,28.95
08,100,2004,5,52.5
08,100,2005,7,23.8
08,100,2006,5,16.83
08,100,2007,12,59.87
08,100,2008,8,27.75
08,100,2009,14,52.01
08,100,2010,3,13.88
08,100,2011,2,8.73
08,101,2001,2,6
08,101,2003,5,41
08,101,2004,54,344.1199999999999
08,101,2005,15,97.2
08,101,2006,19,129.14999999999998
08,101,2007,29,191.25
08,101,2008,21,149.75
08,101,2009,33,143.7
08,101,2010,4,14
08,101,2011,1,0
08,101,2012,8,44.5
08,101,2013,10,47.5
08,102,2001,2,13
08,102,2002,23,163
08,102,2003,21,159.7
08,102,2004,65,297.28000000000003
08,102,2005,34,171.17999999999998
08,102,2006,25,91.32000000000001
08,102,2007,28,111.35000000000001
08,102,2008,49,180.03
08,102,2009,8,29
08,102,2010,5,31.35
08,102,2012,1,5.2
08,103,2002,13,39.06
08,103,2003,6,11.93
08,103,2004,18,80.58999999999999
08,103,2005,17,51.559999999999995
08,103,2006,52,167.12
08,103,2007,69,199.38
08,103,2008,36,92.02999999999999
08,103,2009,13,36.35
08,103,2010,4,3
08,103,2012,11,30.200000000000003
08,103,2013,43,149.14999999999998
08,103,2014,8,18.880000000000003
08,104,2002,4,17
08,104,2003,46,98.17
08,104,2004,105,255.38999999999996
08,104,2005,25,47.42999999999999
08,104,2006,89,194.85
08,104,2007,137,300.0499999999998
08,104,2008,9,18.28
08,104,2010,6,0
08,104,2013,10,19.43
08,104,2014,7,16.35
08,105,2002,5,12.76
08,105,2003,30,96.55000000000001
08,105,2004,81,199.17000000000004
08,105,2005,34,97.62000000000002
08,105,2006,61,117.87999999999997
08,105,2007,84,159.51999999999995
08,105,2008,22,45.730000000000004
08,105,2009,2,3.5
08,105,2011,1,2.55
08,105,2013,4,6.48
08,105,2014,3,6.1
08,106,2003,21,51.169999999999995
08,106,2004,12,26
08,106,2005,35,80.68999999999998
08,106,2006,15,53.78
08,106,2007,67,127.10000000000004
08,106,2008,29,60.53
08,106,2009,1,2.05
08,106,2011,2,1
08,106,2012,1,2.1
08,106,2014,14,29.279999999999998
08,107,2003,20,66.22999999999999
08,107,2004,29,104.19999999999999
08,107,2005,23,58.02
08,107,2006,31,73.79
08,107,2007,56,153.53
08,107,2008,6,41.55
08,107,2009,2,1
08,107,2010,5,2.2
08,107,2011,1,0
08,108,2002,1,5.15
08,108,2003,16,67.25
08,108,2004,66,338.14
08,108,2005,46,237.62000000000006
08,108,2006,34,101.71999999999998
08,108,2007,55,148.95999999999998
08,108,2008,16,53.61
08,108,2009,11,39.65
08,108,2010,6,26.03
08,108,2011,8,9.33
08,108,2013,2,5.8
08,109,2002,7,20.6
08,109,2003,14,24.07
08,109,2004,66,170.53999999999996
08,109,2005,44,136.83999999999997
08,109,2006,39,77.57999999999998
08,109,2007,86,174.56
08,109,2008,21,60.16000000000001
08,109,2009,3,3.8
08,109,2010,12,0
08,109,2013,15,36.940000000000005
08,109,2014,38,126.69999999999996
08,110,2000,7,23.2
08,110,2001,3,0
08,110,2002,10,23.45
08,110,2003,19,39.550000000000004
08,110,2004,80,234.48000000000002
08,110,2005,19,47.86000000000001
08,110,2006,63,177.43
08,110,2007,256,772.0500000000001
08,110,2008,47,120.90000000000003
08,110,2009,23,0
08,110,2010,7,1.98
08,110,2011,7,0
08,110,2013,25,78.97000000000001
08,110,2014,13,35.98
08,110,2015,2,6.25
08,111,2002,13,38.5
08,111,2003,24,87.95
08,111,2004,29,99.39999999999998
08,111,2005,1,3.5
08,111,2006,59,270.9500000000001
08,111,2007,55,173.86999999999995
08,111,2008,23,117.12999999999998
08,111,2009,5,10.100000000000001
08,111,2011,1,0
08,111,2013,33,97.04999999999998
08,111,2014,6,11.96
08,112,2002,29,125.19999999999999
08,112,2004,105,451.6599999999999
08,112,2005,80,334.51000000000005
08,112,2006,84,324.30000000000007
08,112,2007,109,409.8399999999999
08,112,2008,88,297.1
08,112,2009,30,99.910000000000025
08,112,2010,3,0
08,112,2011,4,18.9
08,112,2012,15,53.00000000000001
08,112,2013,25,128.1
08,112,2014,24,79.05
08,112,2015,8,20.05
08,113,2003,10,31.7
08,113,2004,34,163.07000000000005
08,113,2005,6,25.93
08,113,2006,66,346.50999999999993
08,113,2007,60,284.36
08,113,2008,50,278.24999999999994
08,113,2009,15,74.5
08,113,2010,2,0
08,113,2011,2,10
08,113,2012,5,30.5
08,113,2013,21,76.85
08,113,2014,8,29
08,114,2003,7,48
08,114,2004,11,59.53
08,114,2005,29,257.75
08,114,2006,15,132.03
08,114,2007,26,190.65
08,114,2008,69,517.91
08,114,2009,16,336.05
08,115,2002,6,23.5
08,115,2003,24,118.64999999999999
08,115,2004,118,599.2500000000001
08,115,2005,100,648.1499999999997
08,115,2006,96,460.49000000000007
08,115,2007,283,1433.139999999999
08,115,2008,255,1135.9999999999998
08,115,2009,54,255.26000000000005
08,115,2010,12,20.470000000000002
