pc11_state_id,pc11_district_id,tot_p_11,sc_p_11,st_p_11,lit_p_11,workers_p_11,sc_share_11,st_share_11,lit_rate_11,lfp_rate_11,tot_p_01,sc_p_01,st_p_01,lit_p_01,workers_p_01,sc_share_01,st_share_01,lit_rate_01,lfp_rate_01
01,001,870354,1048,70352,439654,229064,0.0012041077538564769,0.08083147776651799,0.5051438839828392,0.2631848650089504,643505,72,50029,231750,208287,1.1188724252336812e-4,0.07774453966946644,0.3601370618720911,0.3236758067147885
01,002,753745,368,23912,335649,214866,4.8822877763699923e-4,0.031724256877325885,0.44530842658989445,0.28506457754280295,1583760,1433,16015,773736,530196,9.04808809415568e-4,0.01011201192099813,0.4885437187452644,0.33477041976056976
01,003,133487,488,95857,93770,75079,0.003655786705821541,0.7180998898769169,0.7024654086165694,0.5624442829638842,117232,618,96174,68278,58125,0.005271598198444111,0.8203732769209772,0.5824177698921796,0.49581172376143035
01,004,140802,18,122336,86236,51873,1.2783909319469893e-4,0.8688512947259271,0.6124628911521143,0.3684109600715899,119307,139,105377,60803,55645,0.0011650615638646516,0.883242391477449,0.5096348076810245,0.4664018037499895
01,005,476835,556,176101,261724,161393,0.001166021789507901,0.36931223588872464,0.5488774943114495,0.3384671846655552,372309,952,148857,156354,200876,0.0025570158121345442,0.39982111633078976,0.4199576158513493,0.53954108012430535
01,006,642415,48157,232815,364109,290912,0.07496244639368632,0.36240592140594474,0.5667815975654367,0.4528412319139497,482235,38469,159376,234064,217750,0.07977231018072102,0.3304944684645453,0.48537331384076227,0.4515433346812239
01,007,616435,141224,53307,389204,200431,0.22909795842221808,0.08647627081525222,0.631378815284661,0.3251453924582478,511079,119223,33637,282129,195212,0.23327704718839945,0.06581565667930007,0.5520262033853865,0.38196051882390003
01,008,1008039,1476,37705,545149,304200,0.0014642290625660316,0.03740430677781316,0.5408014967674862,0.3017740385044626,843892,233,28886,339719,257098,2.761016812577913e-4,0.03422949856142729,0.40256217620264206,0.3046574680172344
01,009,392232,392,75374,185979,149317,9.994085133288463e-4,0.1921668808256338,0.4741556017866977,0.3806854106753146,304822,144,54996,99372,107886,4.72406847274803e-4,0.18042004842170184,0.326000091856887,0.3539311467020097
01,010,1236829,1068,8935,748584,407188,8.634985111118837e-4,0.007224119098112997,0.6052445406761969,0.32921931811107275,1066472,1041,3485,606379,341560,9.761156411045016e-4,0.0032677838705563764,0.5685840790944348,0.32027094944827433
01,011,297446,117,61070,143276,100890,3.9334870867317094e-4,0.2053145781082953,0.48168743234066014,0.33918761724817276,213944,44,41959,72689,67096,2.0566129454436676e-4,0.19612141494970647,0.3397571327076244,0.31361477769883706
01,012,560440,402,22607,293958,188420,7.172935550638784e-4,0.04033794875455,0.524512882734994,0.33620012847048747,441225,97,10552,201337,150488,2.1984248399342738e-4,0.02391523599070769,0.4563136721627288,0.34106861578559694
01,013,266215,43,21820,136500,87721,1.6152358056458125e-4,0.08196382623067822,0.5127434592340777,0.3295118607140845,211309,0,10944,80155,62094,0,0.05179145232810718,0.3793260107236322,0.2938540242015248
01,014,1078692,1826,116006,545532,389684,0.0016927908986068313,0.10754320973920266,0.5057347231647217,0.36125603972218207,774203,473,80856,315150,267514,6.109508746414054e-4,0.10443772498944075,0.4070637804296806,0.34553469826389205
01,015,424483,21,26525,209085,159990,4.94719458729796e-5,0.062487779251465904,0.4925638953739019,0.3769055533437146,473211,354,20409,192904,148929,7.48080665918586e-4,0.04312875229020458,0.4076490191479065,0.31472007201861324
