pc11_state_id,pc11_district_id,emp_all,count_all,emp_manuf,emp_services,census_year
03,046,76081,34713,13958,62087,2005
03,046,113340,46496,32204,81019,2013
03,047,24292,10940,4289,19998,1990
03,047,30090,13327,8453,21636,1998
03,047,37990,18406,10208,27650,2005
03,047,51647,21979,14304,37249,2013
03,048,55215,24614,17725,37447,1990
03,048,122477,46563,35513,86773,1998
03,048,157937,75404,39455,118407,2005
03,048,185721,79533,49626,135635,2013
03,049,40342,18753,10393,29942,1990
03,049,192558,69719,44707,147793,1998
03,049,218677,102219,47495,171054,2005
03,049,290208,132858,94585,191489,2013
03,050,36329,15797,9602,26675,1990
03,050,43536,16939,10548,32983,1998
03,050,50927,26359,9926,40357,2005
03,050,102453,50965,51382,50284,2013
03,051,23067,11084,5837,17134,1990
03,051,43486,17241,14392,28938,1998
03,051,52830,20473,17439,35368,2005
03,051,70186,29475,20665,49097,2013
03,052,34152,8934,16657,17470,1990
03,052,61093.29139965476,14782.207193359976,33294.51332497813,27785.77807467663,1998
03,052,90074.0263425477,25757.017191231764,31431.765376339,58287.96642152806,2005
03,052,138895,33561,41741,97059,2013
03,053,61559,24162,22466,39079,1990
03,053,88607,35438,23130,65459,1998
03,053,119822,55466,31297,88459,2005
03,053,190925,79688,57159,133499,2013
03,054,23282,9115,4207,19071,1990
03,054,32615,12653,7693,24921,1998
03,054,51340,17548,13192,38135,2005
03,054,63528,22058,21981,41496,2013
04,055,11848.272321012551,7316.488367298337,1963.3304278334915,9875.457205121891,1990
04,055,148905.88520887506,38252.489190882,27983.447226070948,120866.43798280411,1998
04,055,186187.84309056573,63155.46235323097,24922.11922161097,161253.64332046965,2005
04,055,244274,82381,28056,215947,2013
05,056,12701,6405,2709,9989,1990
05,056,12878,6773,2179,10668,1998
05,056,18005,10021,2051,15946,2005
05,056,21358,10382,1901,19197,2013
05,057,17619,10168,3878,13737,1990
05,057,15415,8238,1881,13520,1998
05,057,25321,14199,4189,21097,2005
05,057,30997,15625,4095,26810,2013
05,058,8916,5359,1756,7158,1990
05,058,7122,3895,891,6230,1998
05,058,11816,6813,1243,10569,2005
05,058,16485,8229,1615,14818,2013
05,059,21713,10982,4630,17060,1990
05,059,22924.263881000676,12046.388136128015,3947.8644038764933,18952.399477124185,1998
05,059,28321.78901098901,15507.614835164835,4354.417582417582,23891.37142857143,2005
05,059,41296,18258,4487,35943,2013
05,060,82554.77483309731,29682.775440016187,19168.52525456875,62712.24957852856,1990
05,060,71117.04545947706,28340.33796246067,10642.310317890853,60443.34004556797,1998
05,060,104493.76383763837,42527.28597785978,16928.85147601476,87232.68450184501,2005
05,060,185439,60316,41258,143453,2013
05,061,21604,12328,4963,16638,1990
05,061,21562.812138104062,10286.185870888516,3123.0684653742537,18439.743672729808,1998
05,061,37438,18645,5345,32025,2005
05,061,50275,21328,7063,43083,2013
05,062,20066,11684,4111,15818,1990
05,062,22773,11623,3527,18761,1998
05,062,28451,17927,5842,22536,2005
05,062,33691,17974,5082,28470,2013
05,063,9556,5514,2083,6819,1990
05,063,2074.677769732078,1074.9062273714699,288.64916727009415,1784.028602461984,1998
05,063,10785.08888888889,6935.392592592592,1958.0814814814814,8792.007407407407,2005
05,063,14901,8029,2161,12498,2013
05,064,28672,16006,5780,22839,1990
05,064,26119,13657,4524,21560,1998
05,064,37341,20933,6046,31221,2005
05,064,39327,18145,6169,32789,2013
05,065,4868,3099,1120,3732,1990
05,065,5811,2617,439,5369,1998
05,065,15476,9015,2496,12843,2005
05,065,17081,9433,1963,14661,2013
05,066,41720,16171,7981,33682,1990
