pc11_state_id,pc11_district_id,year,dmsp_total_light_cal
01,001,1994,2.7367000579833984
01,001,1995,0
01,001,1996,0
01,001,1997,0
01,001,1998,1232.6564025878906
01,001,1999,12.5
01,001,2000,2516.7613525390625
01,001,2001,433.865291595459
01,001,2002,2239.6953887939453
01,001,2003,2104.5226440429688
01,001,2004,2039.8652954101562
01,001,2005,1814.8529968261719
01,001,2006,2102.943603515625
01,001,2007,4646.267578125
01,001,2008,2860.54345703125
01,001,2009,3939.598388671875
01,001,2010,10149.9091796875
01,001,2011,8314.458984375
01,001,2012,8448.0185546875
01,001,2013,8830.625
01,002,1994,1320.5167846679688
01,002,1995,1294.1822509765625
01,002,1996,2104.0224609375
01,002,1997,2902.5123291015625
01,002,1998,3137.49072265625
01,002,1999,1917.9273681640625
01,002,2000,3795.5460205078125
01,002,2001,2825.630126953125
01,002,2002,3459.476318359375
01,002,2003,3562.9970703125
01,002,2004,3945.7152099609375
01,002,2005,4053.5460205078125
01,002,2006,4481.848876953125
01,002,2007,5647.01806640625
01,002,2008,4524.94140625
01,002,2009,6389.44287109375
01,002,2010,9949.767578125
01,002,2011,8471.0322265625
01,002,2012,9285.484375
01,002,2013,9139.78515625
01,003,1994,415.99290466308594
01,003,1995,882.65948486328125
01,003,1996,973.70751953125
01,003,1997,727.0908203125
01,003,1998,759.8247985839844
01,003,1999,802.7254638671875
01,003,2000,70508.66162109375
01,003,2001,12061.843872070312
01,003,2002,63615.740478515625
01,003,2003,56160.962890625
01,003,2004,50451.478515625
01,003,2005,37904.700439453125
01,003,2006,54822.244140625
01,003,2007,115417.49609375
01,003,2008,65281.296875
01,003,2009,110038.4921875
01,003,2010,268372.65625
01,003,2011,217638.671875
01,003,2012,215182.984375
01,003,2013,215263.703125
01,004,1994,15.132749557495115
01,004,1995,298.7305908203125
01,004,1996,232.9958953857422
01,004,1997,156.5157470703125
01,004,1998,146.6928939819336
01,004,1999,67.12839889526367
01,004,2000,14970.966430664062
01,004,2001,2444.0487098693848
01,004,2002,13560.406005859375
01,004,2003,11858.919677734375
01,004,2004,10806.41162109375
01,004,2005,8246.333679199219
01,004,2006,11895.9248046875
01,004,2007,24909.04150390625
01,004,2008,14766.916015625
01,004,2009,24324.4140625
01,004,2010,57911.06640625
01,004,2011,47152.41015625
01,004,2012,46357.75390625
01,004,2013,46874.296875
01,005,1994,1645.9306030273438
01,005,1995,2620.02587890625
01,005,1996,2915.802978515625
01,005,1997,1283.7448120117188
01,005,1998,2942.6822509765625
01,005,1999,1882.4361572265625
01,005,2000,5279.630126953125
01,005,2001,2902.258056640625
01,005,2002,4957.9686279296875
01,005,2003,4632.538330078125
01,005,2004,4538.3836669921875
01,005,2005,5547.324951171875
01,005,2006,5097.470703125
01,005,2007,7933.87939453125
01,005,2008,5287.68994140625
01,005,2009,5755.8857421875
01,005,2010,13009.4892578125
01,005,2011,12063.6142578125
01,005,2012,12990.9853515625
01,005,2013,12455.91015625
01,006,1994,3324.0347900390625
01,006,1995,4862.373046875
01,006,1996,6024.1572265625
01,006,1997,2978.6527099609375
01,006,1998,6529.8076171875
01,006,1999,4785.8056640625
01,006,2000,8382.380615234375
01,006,2001,6305.615234375
01,006,2002,8157.09619140625
01,006,2003,7973.600341796875
01,006,2004,10386.509765625
01,006,2005,10449.1865234375
01,006,2006,9910.875
01,006,2007,13560.67138671875
01,006,2008,10152.60546875
01,006,2009,11297.1376953125
01,006,2010,16949.5859375
01,006,2011,13924.5751953125
01,006,2012,14501.326171875
01,006,2013,14979.2998046875
01,007,1994,10521.81787109375
01,007,1995,11713.34765625
01,007,1996,13036.451171875
01,007,1997,11704.47265625
01,007,1998,13556.62353515625
01,007,1999,11729.203125
01,007,2000,14716.189453125
01,007,2001,12352.4189453125
01,007,2002,14456.45849609375
01,007,2003,13994.4267578125
01,007,2004,16210.5849609375
01,007,2005,15763.21875
01,007,2006,15469.85986328125
01,007,2007,18220.7275390625
01,007,2008,16553.306640625
01,007,2009,19020.703125
01,007,2010,23281.65625
01,007,2011,22412.673828125
01,007,2012,25045.14453125
01,007,2013,23217.818359375
01,008,1994,2363.3826904296875
01,008,1995,2844.528564453125
01,008,1996,2517.614501953125
01,008,1997,1008.7173156738281
01,008,1998,3365.8385009765625
01,008,1999,850.6935119628906
01,008,2000,4597.144287109375
01,008,2001,2056.379638671875
01,008,2002,3822.9849853515625
01,008,2003,4283.539306640625
01,008,2004,4839.08203125
01,008,2005,5584.731201171875
01,008,2006,5301.763916015625
01,008,2007,8622.84033203125
01,008,2008,6368.20166015625
01,008,2009,6588.7685546875
01,008,2010,13373.955078125
01,008,2011,11281.3359375
01,008,2012,12077.888671875
01,008,2013,13243.166015625
01,009,1994,0
01,009,1995,0
01,009,1996,0
01,009,1997,0
01,009,1998,172.06680297851562
01,009,1999,0
01,009,2000,2119.06884765625
01,009,2001,399.8405418395996
01,009,2002,1856.2301177978516
01,009,2003,1645.2586364746094
01,009,2004,1569.2322998046875
01,009,2005,1539.2075805664062
01,009,2006,1830.9039916992188
01,009,2007,3796.2841796875
01,009,2008,2232.466796875
01,009,2009,3325.016357421875
01,009,2010,8548.2705078125
01,009,2011,7319.2060546875
01,009,2012,7860.95166015625
01,009,2013,7763.79736328125
01,010,1994,3186.2403564453125
01,010,1995,2583.314208984375
01,010,1996,4331.2119140625
01,010,1997,5576.857177734375
01,010,1998,6912.19091796875
01,010,1999,4626.75439453125
01,010,2000,5430.963623046875
01,010,2001,5317.781005859375
01,010,2002,5188.71044921875
01,010,2003,6018.3720703125
01,010,2004,6324.77490234375
01,010,2005,7154.5283203125
01,010,2006,7414.2783203125
01,010,2007,8220.26318359375
01,010,2008,7647.33203125
01,010,2009,8241.369140625
01,010,2010,10424.5810546875
01,010,2011,9965.95703125
01,010,2012,11228.9794921875
01,010,2013,11708.7060546875
01,011,1994,829.9687805175781
01,011,1995,687.69171142578125
01,011,1996,1106.1180419921875
01,011,1997,1651.0399169921875
01,011,1998,2276.8695068359375
01,011,1999,1378.0775146484375
01,011,2000,3474.12451171875
01,011,2001,1999.2388916015625
01,011,2002,3181.054931640625
01,011,2003,3375.984130859375
01,011,2004,3522.776611328125
01,011,2005,4040.402099609375
01,011,2006,4500.139404296875
01,011,2007,6598.205078125
01,011,2008,4876.3681640625
01,011,2009,5569.541015625
01,011,2010,10075.3642578125
01,011,2011,9042.9150390625
01,011,2012,10030.1650390625
01,011,2013,10013.4599609375
01,012,1994,279.08060455322266
01,012,1995,388.0668029785156
01,012,1996,626.20550537109375
01,012,1997,544.4817352294922
01,012,1998,1031.89208984375
01,012,1999,522.3725891113281
01,012,2000,2211.8194580078125
01,012,2001,1184.9598388671875
01,012,2002,1641.9478149414062
01,012,2003,1731.1975708007812
01,012,2004,2052.5153198242188
01,012,2005,2561.762451171875
01,012,2006,2669.5755615234375
01,012,2007,4241.1002197265625
01,012,2008,3240.433837890625
01,012,2009,3565.468505859375
01,012,2010,5581.43212890625
01,012,2011,5259.646484375
01,012,2012,6235.9677734375
01,012,2013,5679.3046875
01,013,1994,0
01,013,1995,0
01,013,1996,0
01,013,1997,0
01,013,1998,0
01,013,1999,0
01,013,2000,476.00621032714844
01,013,2001,73.1539535522461
01,013,2002,414.451208114624
01,013,2003,382.3059539794922
01,013,2004,339.8049011230469
01,013,2005,376.9336624145508
01,013,2006,416.96461486816406
01,013,2007,1219.6664428710938
01,013,2008,725.83709716796875
01,013,2009,890.54931640625
01,013,2010,2034.4466552734375
01,013,2011,1713.5887451171875
01,013,2012,1929.1318359375
01,013,2013,2017.77294921875
01,014,1994,0
01,014,1995,81.6343002319336
01,014,1996,253.99620056152344
01,014,1997,269.4459457397461
01,014,1998,428.7048034667969
01,014,1999,215.94860076904297
01,014,2000,2804.4471435546875
01,014,2001,736.0880432128906
01,014,2002,2507.3579711914062
01,014,2003,2623.6429443359375
01,014,2004,2715.80224609375
01,014,2005,2839.4898071289062
01,014,2006,3042.8483276367188
01,014,2007,6052.72802734375
01,014,2008,4026.06884765625
01,014,2009,5110.48583984375
01,014,2010,10454.8720703125
01,014,2011,9718.126953125
01,014,2012,11368.384765625
01,014,2013,10657.8408203125
01,015,1994,0
01,015,1995,0
01,015,1996,0
01,015,1997,0
01,015,1998,0
01,015,1999,0
01,015,2000,1209.967514038086
01,015,2001,183.80780029296875
01,015,2002,1067.3134002685547
01,015,2003,1008.1064758300781
01,015,2004,914.810302734375
01,015,2005,758.67791748046875
01,015,2006,1114.1761627197266
01,015,2007,2648.9783935546875
01,015,2008,1407.2454833984375
01,015,2009,2038.0975341796875
01,015,2010,4795.5546875
01,015,2011,4052.510009765625
01,015,2012,4742.21240234375
01,015,2013,4397.91455078125
01,016,1994,268.2525100708008
01,016,1995,546.44769287109375
01,016,1996,849.48638916015625
01,016,1997,651.4446105957031
01,016,1998,1227.3607788085938
01,016,1999,933.71038818359375
01,016,2000,4017.6182861328125
01,016,2001,2213.4910888671875
01,016,2002,4303.345458984375
01,016,2003,3720.026123046875
01,016,2004,3692.1793212890625
01,016,2005,3579.17236328125
01,016,2006,3485.7679443359375
01,016,2007,6316.263671875
01,016,2008,3970.953857421875
01,016,2009,5253.359375
01,016,2010,10417.1728515625
01,016,2011,9035.7099609375
01,016,2012,8891.0576171875
01,016,2013,8795.7958984375
01,017,1994,311.46165466308594
01,017,1995,461.2095031738281
01,017,1996,619.9578857421875
01,017,1997,552.0643615722656
01,017,1998,1151.2267456054688
01,017,1999,612.7482604980469
01,017,2000,1893.4657592773438
01,017,2001,1002.7578735351562
01,017,2002,1958.862548828125
01,017,2003,1848.9586791992188
01,017,2004,1907.2042846679688
01,017,2005,1975.8964233398438
01,017,2006,2078.7939453125
01,017,2007,3377.9847412109375
01,017,2008,2125.918212890625
01,017,2009,3063.873779296875
01,017,2010,5627.59619140625
01,017,2011,4965.9560546875
01,017,2012,5452.88232421875
01,017,2013,5309.74853515625
01,018,1994,1937.7386474609375
01,018,1995,1591.1639404296875
01,018,1996,1568.1617431640625
01,018,1997,1564.1992797851562
01,018,1998,2104.7489013671875
01,018,1999,1794.189697265625
01,018,2000,9179.2313232421875
01,018,2001,2568.1583862304688
01,018,2002,7990.0130615234375
01,018,2003,6887.119384765625
01,018,2004,6367.85986328125
01,018,2005,4938.899963378906
01,018,2006,6541.63671875
01,018,2007,13074.10498046875
01,018,2008,7304.6142578125
01,018,2009,12140.357421875
01,018,2010,29030.90625
01,018,2011,23675.798828125
01,018,2012,23454.669921875
01,018,2013,23352.66796875
01,019,1994,4771.83154296875
01,019,1995,5741.98388671875
01,019,1996,6958.24755859375
01,019,1997,5619.687255859375
01,019,1998,8076.2158203125
01,019,1999,5906.18408203125
01,019,2000,9061.874267578125
01,019,2001,6727.19775390625
01,019,2002,8757.512939453125
01,019,2003,8285.794921875
01,019,2004,9122.74462890625
01,019,2005,8908.31787109375
01,019,2006,8921.5673828125
01,019,2007,11748.0888671875
01,019,2008,9050.7177734375
01,019,2009,11538.92578125
01,019,2010,16712.357421875
01,019,2011,16404.712890625
01,019,2012,17587.697265625
01,019,2013,16950.4296875
01,020,1994,3650.2105712890625
01,020,1995,4044.646484375
01,020,1996,4112.00390625
01,020,1997,3233.4014892578125
01,020,1998,4356.8519287109375
01,020,1999,3544.103271484375
01,020,2000,5824.9423828125
01,020,2001,4203.3948974609375
01,020,2002,5773.6220703125
01,020,2003,5404.513427734375
01,020,2004,5917.858642578125
01,020,2005,6558.290771484375
01,020,2006,6635.52734375
01,020,2007,8767.66650390625
01,020,2008,6591.091796875
01,020,2009,7919.33203125
01,020,2010,11700.12109375
01,020,2011,10086.57421875
01,020,2012,11391.12109375
01,020,2013,10639.8076171875
01,021,1994,36041.92578125
01,021,1995,38339.02734375
01,021,1996,42498.02734375
01,021,1997,40260.505859375
01,021,1998,44705.5703125
01,021,1999,37868.5703125
01,021,2000,40485.26171875
01,021,2001,41606.15625
01,021,2002,43928.677734375
01,021,2003,42426.60546875
01,021,2004,43972.03515625
01,021,2005,44956.265625
01,021,2006,44885.162109375
01,021,2007,47969.99609375
01,021,2008,47291.4765625
01,021,2009,52069.96875
01,021,2010,52666.23828125
01,021,2011,51212.6171875
01,021,2012,56996.37109375
01,021,2013,52339.76953125
01,022,1994,10732.72021484375
01,022,1995,11050.84375
01,022,1996,12712.97265625
01,022,1997,12408.79638671875
01,022,1998,13755.8701171875
01,022,1999,12540.142578125
01,022,2000,13956.11572265625
01,022,2001,13923.58154296875
01,022,2002,15100.65625
01,022,2003,14835.20556640625
01,022,2004,16196.48095703125
01,022,2005,16771.8046875
01,022,2006,16689.98046875
01,022,2007,17786.3935546875
01,022,2008,17077.314453125
01,022,2009,19432.3671875
01,022,2010,19960.611328125
01,022,2011,20774.83203125
01,022,2012,22098.66796875
01,022,2013,19907.2890625
02,023,1994,1539.4508056640625
02,023,1995,2158.52734375
02,023,1996,2521.03271484375
02,023,1997,1624.4835205078125
02,023,1998,2752.46337890625
02,023,1999,2963.803955078125
02,023,2000,10157.19287109375
02,023,2001,4658.9437255859375
02,023,2002,9508.315673828125
02,023,2003,8674.904052734375
02,023,2004,9218.4921875
02,023,2005,8437.592041015625
02,023,2006,9581.419921875
02,023,2007,16234.44580078125
02,023,2008,11215.0947265625
02,023,2009,13925.9873046875
02,023,2010,27161.125
02,023,2011,23551.537109375
02,023,2012,22976.455078125
02,023,2013,23276.529296875
02,024,1994,8643.692138671875
02,024,1995,12239.099609375
02,024,1996,16068.671875
02,024,1997,12850.09228515625
02,024,1998,19212.4287109375
02,024,1999,21218.4951171875
02,024,2000,29648.451171875
02,024,2001,22828.31640625
02,024,2002,28302.2939453125
02,024,2003,28075.4306640625
02,024,2004,32204.8486328125
02,024,2005,32253.75390625
02,024,2006,33235.1279296875
02,024,2007,39944.4375
02,024,2008,36617.58984375
02,024,2009,38432.4140625
02,024,2010,44934.9453125
02,024,2011,44284.35546875
02,024,2012,45391.71484375
02,024,2013,44414.921875
02,025,1994,0
02,025,1995,0
02,025,1996,34.516300201416016
02,025,1997,10.987799644470215
02,025,1998,0
02,025,1999,0
02,025,2000,12033.726440429688
02,025,2001,1993.2399559020996
02,025,2002,10792.27880859375
02,025,2003,9455.937744140625
02,025,2004,8441.830078125
02,025,2005,6227.2216796875
02,025,2006,9115.3953857421875
02,025,2007,19564.7470703125
02,025,2008,10994.0810546875
02,025,2009,18497.060546875
02,025,2010,45711.94921875
02,025,2011,37011.34765625
02,025,2012,36630.23828125
02,025,2013,36634.6796875
02,026,1994,1551.6390380859375
02,026,1995,1906.543701171875
02,026,1996,3069.76953125
02,026,1997,2682.2225341796875
02,026,1998,3536.871826171875
02,026,1999,5172.51416015625
02,026,2000,10644.284423828125
02,026,2001,5833.25048828125
02,026,2002,9549.841796875
02,026,2003,9046.64013671875
02,026,2004,10317.38330078125
02,026,2005,9587.673095703125
02,026,2006,11073.576171875
02,026,2007,16949.2705078125
02,026,2008,12339.9609375
02,026,2009,13546.087890625
02,026,2010,25388.587890625
02,026,2011,22658.34375
02,026,2012,22185.404296875
02,026,2013,22775.962890625
02,027,1994,3996.1890869140625
02,027,1995,4652.8232421875
02,027,1996,6916.9248046875
02,027,1997,5094.243408203125
02,027,1998,7760.114013671875
02,027,1999,10218.3046875
02,027,2000,15460.14013671875
02,027,2001,11146.28125
02,027,2002,15441.31494140625
02,027,2003,16119.72216796875
02,027,2004,18311.68505859375
02,027,2005,17983.7529296875
02,027,2006,19334.8876953125
02,027,2007,25012.4736328125
02,027,2008,20981.20703125
02,027,2009,22386.060546875
02,027,2010,28440.76953125
02,027,2011,27444.255859375
02,027,2012,27412.435546875
02,027,2013,27129.7890625
02,028,1994,2643.783447265625
02,028,1995,4783.59765625
02,028,1996,5887.359375
02,028,1997,4671.760986328125
02,028,1998,6839.621337890625
02,028,1999,8738.2412109375
02,028,2000,10521.31884765625
02,028,2001,8822.150634765625
02,028,2002,10130.17578125
02,028,2003,10038.0263671875
02,028,2004,10787.2958984375
02,028,2005,10548.8837890625
02,028,2006,10681.62646484375
02,028,2007,11585.1474609375
02,028,2008,11132.966796875
02,028,2009,12090.9326171875
02,028,2010,12298.5732421875
02,028,2011,12480.443359375
02,028,2012,12472.76953125
02,028,2013,12285.7587890625
02,029,1994,5827.750732421875
02,029,1995,8140.736328125
02,029,1996,8740.1533203125
02,029,1997,8563.70068359375
02,029,1998,10526.1162109375
02,029,1999,12036.99853515625
02,029,2000,14535.5849609375
02,029,2001,12340.91259765625
02,029,2002,13696.451171875
02,029,2003,14168.3505859375
02,029,2004,15546.80078125
02,029,2005,15468.52685546875
02,029,2006,17185.09765625
02,029,2007,18833.9453125
02,029,2008,18014.08984375
02,029,2009,18430.62890625
02,029,2010,20053.666015625
02,029,2011,19434.169921875
02,029,2012,21546.076171875
02,029,2013,20128.9609375
02,030,1994,6220.116455078125
02,030,1995,7548.1083984375
02,030,1996,9314.7021484375
02,030,1997,8015.032470703125
02,030,1998,9442.5380859375
02,030,1999,10976.24365234375
02,030,2000,12713.90673828125
02,030,2001,11339.68994140625
02,030,2002,12323.33544921875
02,030,2003,12044.74365234375
02,030,2004,13117.71142578125
02,030,2005,13390.185546875
02,030,2006,13799.69189453125
02,030,2007,15499.66748046875
02,030,2008,15135.4677734375
02,030,2009,15601.28515625
02,030,2010,15857.5654296875
02,030,2011,15881.841796875
02,030,2012,16164.505859375
02,030,2013,15653.759765625
02,031,1994,7973.921875
02,031,1995,10388.7861328125
02,031,1996,12741.560546875
02,031,1997,11660.97021484375
02,031,1998,14201.86962890625
02,031,1999,18724.7421875
02,031,2000,21511.7431640625
02,031,2001,19491.71875
02,031,2002,20554.921875
02,031,2003,19792.328125
02,031,2004,22296.9072265625
02,031,2005,24318.7177734375
