pc11_state_id,pc11_district_id,year,dmsp_total_light_cal,roads_completed,road_length_km,tot_p,sc_share,st_share,lit_rate,lfp_rate,ec_emp_all,ec_count_all,ec_emp_manuf,ec_emp_services,winning_party,incumbent_won
01,001,1994,2.7367000579833984,NA,NA,643505,1.1188724252336812e-4,0.07774453966946644,0.3601370618720911,0.3236758067147885,NA,NA,NA,NA,NC-INC,Yes
01,001,1995,0,NA,NA,643505,1.1188724252336812e-4,0.07774453966946644,0.3601370618720911,0.3236758067147885,NA,NA,NA,NA,NC-INC,Yes
01,001,1996,0,NA,NA,643505,1.1188724252336812e-4,0.07774453966946644,0.3601370618720911,0.3236758067147885,NA,NA,NA,NA,NC,No
01,001,1997,0,NA,NA,643505,1.1188724252336812e-4,0.07774453966946644,0.3601370618720911,0.3236758067147885,NA,NA,NA,NA,NC,No
01,001,1998,1232.6564025878906,NA,NA,643505,1.1188724252336812e-4,0.07774453966946644,0.3601370618720911,0.3236758067147885,4568,2118,662,3906,NC,No
01,001,1999,12.5,NA,NA,643505,1.1188724252336812e-4,0.07774453966946644,0.3601370618720911,0.3236758067147885,4568,2118,662,3906,NC,No
01,001,2000,2516.7613525390625,NA,NA,643505,1.1188724252336812e-4,0.07774453966946644,0.3601370618720911,0.3236758067147885,4568,2118,662,3906,NC,No
01,001,2001,433.865291595459,NA,NA,643505,1.1188724252336812e-4,0.07774453966946644,0.3601370618720911,0.3236758067147885,4568,2118,662,3906,NC,No
01,001,2002,2239.6953887939453,NA,NA,643505,1.1188724252336812e-4,0.07774453966946644,0.3601370618720911,0.3236758067147885,4568,2118,662,3906,PDP-INC,No
01,001,2003,2104.5226440429688,NA,NA,643505,1.1188724252336812e-4,0.07774453966946644,0.3601370618720911,0.3236758067147885,4568,2118,662,3906,PDP-INC,No
01,001,2004,2039.865295410156,NA,NA,643505,1.1188724252336812e-4,0.07774453966946644,0.3601370618720911,0.3236758067147885,4568,2118,662,3906,PDP-INC,No
01,001,2005,1814.852996826172,NA,NA,643505,1.1188724252336812e-4,0.07774453966946644,0.3601370618720911,0.3236758067147885,25709,13577,4613,20684,PDP-INC,No
01,001,2006,2102.943603515625,1,2.21,643505,1.1188724252336812e-4,0.07774453966946644,0.3601370618720911,0.3236758067147885,25709,13577,4613,20684,PDP-INC,No
01,001,2007,4646.267578125,NA,NA,643505,1.1188724252336812e-4,0.07774453966946644,0.3601370618720911,0.3236758067147885,25709,13577,4613,20684,PDP-INC,No
01,001,2008,2860.54345703125,NA,NA,643505,1.1188724252336812e-4,0.07774453966946644,0.3601370618720911,0.3236758067147885,25709,13577,4613,20684,NC-INC,No
01,001,2009,3939.598388671875,NA,NA,643505,1.1188724252336812e-4,0.07774453966946644,0.3601370618720911,0.3236758067147885,25709,13577,4613,20684,NC-INC,No
01,001,2010,10149.9091796875,13,46.21,643505,1.1188724252336812e-4,0.07774453966946644,0.3601370618720911,0.3236758067147885,25709,13577,4613,20684,NC-INC,No
